Country,Currency,Price Per Unit,Baht Per Unit,Weight Unit to Kg,Baht Per Kg Raw,Pig Type,Carcass Yield ,Baht Per Carcass Kg,Pork Yield ,Baht Per Pork Kg,Minimum Wage (Dollar),Minimum Wage (Baht)
Belgium,EUR,0.77,29.15414086,1,29.15414086,Live,0.72,40.49186231,0.65,62.29517278,10.38,346.9
Denmark,DKK,8.4,42.75712022,1,42.75712022,Carcass,1,42.75712022,0.6,71.26186704,16.6,554.77
France,EUR,1.247,47.21456319,1,47.21456319,Carcass,1,47.21456319,0.56,84.31171998,11.66,389.68
Germany,EUR,1.23,46.57090034,1,46.57090034,Carcass,1,46.57090034,0.57,81.70333393,10.87,363.28
Italy,EUR,1.63,61.71590858,1,61.71590858,Live,0.72,85.71653969,0.65,131.8715995,7.93,265.04
Netherlands,EUR,0.9,34.07626854,1,34.07626854,Live,0.72,47.32815075,0.65,72.81253962,10.44,348.9
Poland,PLN,5.811,48.44312199,1,48.44312199,Carcass,1,48.44312199,0.57,84.98793332,3.35,111.96
Romania,RON,564.19,4319.504999,100,43.19504999,Live,0.72,59.99312498,0.65,92.29711536,3.24,108.21
Russia,RUB,124.8,55.6803936,1,55.6803936,Live,0.72,77.33388,0.65,118.9752,2.27,75.86
Spain,EUR,1.02,38.61977101,1,38.61977101,Live,0.72,53.63857085,0.65,82.52087823,5.83,194.84
United Kingdom,GBP,1.4182,64.43851146,1,64.43851146,Carcass,1,64.43851146,0.65,99.13617147,10.34,345.56
Ukraine,UAH,46.2,56.23650112,1,56.23650112,Live,0.72,78.10625156,0.65,120.1634639,1.35,44.95
Argentine,ARS,179.92,58.12218524,1,58.12218524,Live,0.72,80.72525728,0.65,124.1927035,4.47,149.23
Brazil,BRL,5.6,33.04183532,1,33.04183532,Live,0.72,45.89143795,0.65,70.60221223,2.18,72.86
Canada,CAD,165.7,4378.297728,100,43.78297728,Carcass,1,43.78297728,0.65,67.35842658,9.52,318.16
Chile,CLP,985,39.3599547,1,39.3599547,Live,0.72,54.66660375,0.65,84.1024673,2.25,75.2
Colombia,COP,8494,70.10514484,1,70.10514484,Live,0.72,97.36825672,0.65,149.797318,2.66,88.9
Mexico,MXN,33.8,55.42475734,1,55.42475734,Live,0.72,76.97882963,0.65,118.4289687,1.05,35.09
USA,USD,69.14,2310.6588,45.359237,50.94130662,Carcass,1,50.94130662,0.65,78.37124095,7.25,242.3
China (Beijing),CNY,16.92,88.67029212,1,88.67029212,Live,0.72,123.1531835,0.65,189.4664362,3.97,132.65
South Korea,KRW,4457,124.8306667,1,124.8306667,Carcass,1,124.8306667,0.65,192.0471796,6.84,228.59
Thailand,THB,110,110,1,110,Live,0.72,152.7777778,0.65,235.042735,1.26,42
